"HOUSEHOLD DATA
ANNUAL AVERAGES
39. Median weekly earnings of full-time wage and salary workers by detailed occupation and sex",,,,,,
Other financial specialists,120,"1,481",51,"2,386",69,"1,233"
Professional and related occupations,"32,088","1,458","14,645","1,736","17,443","1,278"
Computer and mathematical occupations,"6,129","1,890","4,522","1,976","1,607","1,628"
Computer and information research scientists,38,–,26,–,12,–
Computer systems analysts,485,"1,701",291,"1,894",195,"1,487"
Information security analysts,209,"2,133",169,"2,306",40,–
Computer programmers,375,"1,889",300,"1,906",75,"1,760"
Software developers,"2,104","2,283","1,682","2,296",422,"2,020"
Software quality assurance analysts and testers,73,"1,751",44,–,29,–
Web developers,57,"2,197",49,–,8,–
Web and digital interface designers,59,"1,423",30,–,29,–
Computer support specialists,616,"1,424",454,"1,478",162,"1,348"
Database administrators and architects,108,"2,113",78,"2,283",30,–
Network and computer systems administrators,200,"1,670",169,"1,830",30,–
Computer network architects,97,"1,913",90,"1,967",8,–
"Computer occupations, all other","1,104","1,597",833,"1,631",271,"1,430"
Actuaries,45,–,27,–,18,–
Mathematicians,4,–,4,–,0,–
Operations research analysts,142,"1,917",65,"2,208",77,"1,665"
Statisticians,44,–,25,–,18,–
Other mathematical science occupations,369,"1,595",188,"1,668",181,"1,474"
Architecture and engineering occupations,"3,374","1,785","2,821","1,864",553,"1,635"
"Architects, except landscape and naval",162,"1,831",108,"1,893",55,"1,691"
Landscape architects,19,–,11,–,9,–
"Surveyors, cartographers, and photogrammetrists",37,–,31,–,6,–
Aerospace engineers,177,"2,071",152,"2,086",25,–
Agricultural engineers,4,–,4,–,0,–
Bioengineers and biomedical engineers,27,–,21,–,6,–
Chemical engineers,86,"2,285",67,"2,300",19,–
Civil engineers,479,"1,752",401,"1,839",78,"1,465"
Computer hardware engineers,69,"2,277",65,"2,252",4,–
Electrical and electronics engineers,244,"2,056",216,"2,101",28,–
Environmental engineers,29,–,22,–,7,–
"Industrial engineers, including health and safety",278,"1,740",209,"1,766",69,"1,682"
Marine engineers and naval architects,11,–,11,–,0,–
Materials engineers,52,"2,220",46,–,6,–
Mechanical engineers,423,"1,890",381,"1,901",43,–
"Mining and geological engineers, including mining safety engineers",9,–,9,–,0,–
Nuclear engineers,4,–,4,–,0,–
Petroleum engineers,10,–,10,–,0,–
"Engineers, all other",620,"1,938",528,"1,953",93,"1,904"
Architectural and civil drafters,23,–,19,–,4,–
Other drafters,73,"1,326",58,"1,259",15,–
Electrical and electronic engineering technologists and technicians,93,"1,429",82,"1,442",12,–
"Other engineering technologists and technicians, except drafters",359,"1,217",296,"1,287",63,982
Surveying and mapping technicians,83,"1,001",73,"1,023",10,–
"Life, physical, and social science occupations","1,583","1,541",830,"1,658",753,"1,445"
Agricultural and food scientists,22,–,13,–,10,–
Biological scientists,104,"1,404",47,–,57,"1,352"
Conservation scientists and foresters,29,–,19,–,10,–
Medical scientists,138,"1,826",69,"2,290",69,"1,537"
"Life scientists, all other",8,–,3,–,5,–
Astronomers and physicists,24,–,19,–,5,–
Atmospheric and space scientists,13,–,9,–,4,–
Chemists and materials scientists,96,"1,913",63,"2,180",33,–
"Environmental scientists and specialists, including health",49,–,26,–,23,–
"Geoscientists and hydrologists, except geographers",31,–,21,–,10,–
"Physical scientists, all other",399,"1,731",220,"1,742",179,"1,649"
Economists,22,–,14,–,8,–
Survey researchers,3,–,2,–,2,–
Clinical and counseling psychologists,5,–,2,–,3,–
School psychologists,46,–,5,–,41,–
Other psychologists,65,"1,726",16,–,49,–
Sociologists,6,–,1,–,4,–
Urban and regional planners,34,–,23,–,12,–
Miscellaneous social scientists and related workers,42,–,20,–,22,–
Agricultural and food science technicians,34,–,20,–,15,–
Biological technicians,26,–,15,–,11,–
Chemical technicians,58,"1,377",39,–,18,–
Environmental science and geoscience technicians,13,–,11,–,2,–
Nuclear technicians,8,–,3,–,5,–
Social science research assistants,4,–,3,–,1,–
"Other life, physical, and social science technicians",240,"1,306",99,"1,430",141,"1,275"
Occupational health and safety specialists and technicians,63,"1,437",49,–,14,–
Community and social service occupations,"2,334","1,147",735,"1,157","1,599","1,144"
Substance abuse and behavioral disorder counselors,103,"1,138",24,–,79,"1,130"
"Educational, guidance, and career counselors and advisors",338,"1,167",73,"1,227",264,"1,158"
Marriage and family therapists,14,–,1,–,13,–
Mental health counselors,123,"1,316",32,–,91,"1,372"
Rehabilitation counselors,13,–,5,–,8,–
"Counselors, all other",182,"1,070",51,"1,248",132,"1,011"
"Child, family, and school social workers",64,"1,064",6,–,57,"1,080"
Healthcare social workers,68,"1,028",18,–,50,"1,028"
Mental health and substance abuse social workers,11,–,3,–,8,–
"Social workers, all other",654,"1,233",113,"1,253",541,"1,228"
Probation officers and correctional treatment specialists,79,"1,196",33,–,46,–
Social and human service assistants,200,963,54,967,146,962
Other community and social service specialists,82,"1,045",23,–,60,"1,055"
Clergy,308,"1,084",261,"1,074",47,–
"Directors, religious activities and education",58,"1,244",21,–,37,–
"Religious workers, all other",37,–,17,–,20,–
Legal occupations,"1,490","1,880",667,"2,301",823,"1,543"
Lawyers,887,"2,438",514,"2,505",374,"2,330"
Judicial law clerks,13,–,1,–,13,–
"Judges, magistrates, and other judicial workers",66,"2,196",32,–,34,–
Paralegals and legal assistants,371,"1,159",68,"1,425",303,"1,125"
"Title examiners, abstractors, and searchers",83,"1,143",25,–,58,"1,030"
"Legal support workers, all other",70,"1,320",28,–,42,–
"Education, training, and library occupations","7,524","1,180","2,070","1,376","5,455","1,134"
Postsecondary teachers,828,"1,723",462,"1,852",366,"1,565"
Preschool and kindergarten teachers,523,791,18,–,505,789
Elementary and middle school teachers,"3,117","1,243",673,"1,370","2,444","1,220"
Secondary school teachers,859,"1,271",367,"1,347",493,"1,213"
Special education teachers,308,"1,164",42,–,266,"1,156"
Tutors,28,–,8,–,20,–
Other teachers and instructors,584,"1,165",229,"1,242",355,"1,124"
"Archivists, curators, and museum technicians",57,"1,289",22,–,35,–
Librarians and media collections specialists,117,"1,118",24,–,93,"1,174"
Library technicians,15,–,5,–,11,–
Teaching assistants,940,698,184,772,757,685
Other educational instruction and library workers,148,"1,310",37,–,111,"1,291"
"Arts, design, entertainment, sports, and media occupations","1,858","1,343","1,036","1,381",822,"1,271"
Artists and related workers,94,"1,543",57,"1,458",37,–
Commercial and industrial designers,13,–,11,–,2,–
Fashion designers,25,–,6,–,19,–
Floral designers,25,–,6,–,19,–
Graphic designers,248,"1,253",119,"1,294",130,"1,221"
Interior designers,50,"1,256",10,–,40,–
Merchandise displayers and window trimmers,18,–,7,–,11,–
Other designers,272,"1,482",178,"1,495",94,"1,408"
Actors,17,–,7,–,11,–
Producers and directors,130,"1,467",58,"1,312",72,"1,609"
Athletes and sports competitors,28,–,23,–,5,–
Coaches and scouts,113,"1,168",85,"1,336",29,–
"Umpires, referees, and other sports officials",2,–,2,–,0,–
Dancers and choreographers,5,–,2,–,3,–
Music directors and composers,18,–,13,–,4,–
Musicians and singers,36,–,30,–,6,–
"Disc jockeys, except radio",12,–,12,–,0,–
"Entertainers and performers, sports and related workers, all other",6,–,1,–,4,–
Broadcast announcers and radio disc jockeys,20,–,12,–,8,–
"News analysts, reporters, and journalists",46,–,25,–,21,–
Public relations specialists,126,"1,544",36,–,90,"1,541"
Editors,82,"1,440",36,–,46,–
Technical writers,46,–,17,–,29,–
Writers and authors,101,"1,322",57,"1,551",44,–
Interpreters and translators,55,964,18,–,36,–
Court reporters and simultaneous captioners,12,–,2,–,10,–
"Media and communication workers, all other",22,–,18,–,4,–
"Broadcast, sound, and lighting technicians",80,"1,387",73,"1,397",6,–
Photographers,62,"1,135",46,–,16,–
"Television, video, and film camera operators and editors",93,"1,259",67,"1,254",26,–
"Media and communication equipment workers, all other",2,–,2,–,0,–
Healthcare practitioners and technical occupations,"7,795","1,404","1,963","1,682","5,832","1,341"
Chiropractors,13,–,5,–,9,–
Dentists,64,"2,837",33,–,31,–
Dietitians and nutritionists,84,"1,137",16,–,69,"1,147"
Optometrists,16,–,6,–,11,–
Pharmacists,316,"2,208",134,"2,238",182,"2,180"
Emergency medicine physicians,21,–,9,–,11,–
Radiologists,18,–,13,–,5,–
Other physicians,715,"2,914",398,"2,920",317,"2,907"
Surgeons,52,"3,300",42,–,10,–
Physician assistants,137,"2,006",45,–,92,"1,852"
Podiatrists,3,–,0,–,3,–
Audiologists,14,–,1,–,13,–
Occupational therapists,116,"1,447",14,–,102,"1,431"
Physical therapists,234,"1,607",89,"1,715",145,"1,526"
Radiation therapists,15,–,2,–,13,–
Recreational therapists,7,–,1,–,6,–
Respiratory therapists,78,"1,371",36,–,42,–
Speech-language pathologists,140,"1,433",11,–,128,"1,435"
Exercise physiologists,6,–,3,–,4,–
"Therapists, all other",178,"1,257",31,–,147,"1,257"
Veterinarians,53,"2,020",17,–,36,–
Registered nurses,"2,817","1,442",404,"1,657","2,413","1,409"
Nurse anesthetists,14,–,6,–,8,–
Nurse midwives,3,–,0,–,3,–
Nurse practitioners,212,"2,079",20,–,191,"2,031"
Acupuncturists,3,–,2,–,1,–
"Healthcare diagnosing or treating practitioners, all other",4,–,2,–,3,–
Clinical laboratory technologists and technicians,251,"1,117",55,"1,172",197,"1,089"
Dental hygienists,106,"1,326",5,–,100,"1,276"
Cardiovascular technologists and technicians,33,–,14,–,18,–
Diagnostic medical sonographers,87,"1,343",29,–,58,"1,286"
Radiologic technologists and technicians,204,"1,412",68,"1,483",136,"1,321"
Magnetic resonance imaging technologists,41,–,8,–,33,–
Nuclear medicine technologists and medical dosimetrists,35,–,19,–,16,–
Emergency medical technicians,119,"1,101",78,"1,170",41,–
Paramedics,102,"1,318",70,"1,349",32,–
Pharmacy technicians,244,903,55,992,189,886
Psychiatric technicians,99,885,37,–,62,895
Surgical technologists,95,"1,244",18,–,77,"1,235"
Veterinary technologists and technicians,99,829,11,–,88,817
Dietetic technicians and ophthalmic medical technicians,46,–,14,–,32,–
Licensed practical and licensed vocational nurses,479,988,59,"1,018",420,984
Medical records specialists,184,918,22,–,162,946
"Opticians, dispensing",37,–,7,–,30,–
Miscellaneous health technologists and technicians,119,"1,035",25,–,94,"1,014"
Other healthcare practitioners and technical occupations,80,"1,372",30,–,51,"1,203"
,,,,,,
Service occupations,"15,818",721,"7,672",801,"8,146",676
Healthcare support occupations,"3,467",713,578,794,"2,890",704
Home health aides,330,644,59,709,271,625
Personal care aides,903,679,190,751,713,668
Nursing assistants,899,700,95,765,804,695
Orderlies and psychiatric aides,48,–,19,–,29,–
Occupational therapy assistants and aides,22,–,6,–,16,–
Physical therapist assistants and aides,75,909,30,–,44,–
Massage therapists,34,–,11,–,23,–
Dental assistants,235,754,13,–,222,758
Medical assistants,490,752,52,904,438,738
Medical transcriptionists,25,–,4,–,20,–
Pharmacy aides,20,–,6,–,13,–
Veterinary assistants and laboratory animal caretakers,67,720,14,–,53,701
Phlebotomists,133,730,14,–,119,723
Other healthcare support workers,187,833,64,919,124,790
Protective service occupations,"2,706","1,113","2,140","1,190",566,884
First-line supervisors of correctional officers,59,"1,432",39,–,20,–
First-line supervisors of police and detectives,93,"1,800",83,"1,812",10,–
First-line supervisors of firefighting and prevention workers,47,–,45,–,3,–
First-line supervisors of security workers,70,"1,033",55,"1,060",15,–
"First-line supervisors of protective service workers, all other",3,–,2,–,1,–
Firefighters,297,"1,351",288,"1,357",9,–
Fire inspectors,19,–,14,–,5,–
Bailiffs,12,–,6,–,6,–
Correctional officers and jailers,294,"1,073",203,"1,133",91,914
Detectives and criminal investigators,132,"1,732",101,"1,833",31,–
Fish and game wardens,5,–,4,–,1,–
Parking enforcement workers,7,–,3,–,4,–
Police officers,709,"1,320",605,"1,363",104,"1,034"
Animal control workers,12,–,7,–,5,–
Private detectives and investigators,95,"1,326",57,"1,481",38,–
Security guards and gambling surveillance officers,730,788,562,811,168,717
Crossing guards and flaggers,24,–,11,–,13,–
Transportation security screeners,45,–,25,–,21,–
School bus monitors,9,–,0,–,9,–
Other protective service workers,44,–,32,–,11,–
Food preparation and serving related occupations,"4,325",660,"2,289",700,"2,036",618
Chefs and head cooks,391,816,304,854,87,690
First-line supervisors of food preparation and serving workers,432,728,215,819,217,677
Cooks,"1,259",655,813,682,446,608
Food preparation workers,484,619,220,645,264,600
Bartenders,208,764,129,768,78,745
Fast food and counter workers,288,610,109,639,179,595
Waiters and waitresses,828,642,281,684,547,617
"Food servers, nonrestaurant",91,623,32,–,59,642
Dining room and cafeteria attendants and bartender helpers,132,593,62,607,69,588
Dishwashers,133,598,106,601,27,–
"Hosts and hostesses, restaurant, lounge, and coffee shop",73,594,11,–,62,596
"Food preparation and serving related workers, all other",7,–,6,–,1,–
Building and grounds cleaning and maintenance occupations,"3,520",692,"2,161",749,"1,359",621
First-line supervisors of housekeeping and janitorial workers,177,896,100,"1,050",77,699
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",93,928,85,938,8,–
Janitors and building cleaners,"1,505",696,999,745,505,626
Maids and housekeeping cleaners,834,619,113,686,721,611
Pest control workers,90,848,83,858,7,–
Landscaping and groundskeeping workers,713,703,673,709,40,–
Tree trimmers and pruners,92,775,91,775,1,–
Other grounds maintenance workers,18,–,18,–,0,–
Personal care and service occupations,"1,799",725,505,779,"1,294",706
Supervisors of personal care and service workers,97,855,43,–,54,793
Animal trainers,31,–,13,–,18,–
Animal caretakers,161,704,38,–,122,687
Gambling services workers,66,893,37,–,29,–
"Ushers, lobby attendants, and ticket takers",7,–,3,–,4,–
Other entertainment attendants and related workers,87,707,39,–,48,–
"Embalmers, crematory operators, and funeral attendants",13,–,10,–,3,–
"Morticians, undertakers, and funeral arrangers",28,–,17,–,11,–
Barbers,69,655,45,–,24,–
"Hairdressers, hairstylists, and cosmetologists",239,740,18,–,222,726
Manicurists and pedicurists,197,772,35,–,162,748
Skincare specialists,46,–,0,–,46,–
Other personal appearance workers,11,–,0,–,11,–
"Baggage porters, bellhops, and concierges",67,676,51,680,15,–
Tour and travel guides,14,–,8,–,6,–
Childcare workers,379,635,22,–,356,632
Exercise trainers and group fitness instructors,71,956,40,–,31,–
Recreation workers,129,776,56,801,74,716
Residential advisors,17,–,5,–,12,–
"Personal care and service workers, all other",68,761,23,–,45,–
,,,,,,
Sales and office occupations,"21,667",923,"8,876","1,072","12,791",856
Sales and related occupations,"9,148","1,001","5,099","1,196","4,049",830
First-line supervisors of retail sales workers,"2,234",995,"1,274","1,094",960,904
First-line supervisors of non-retail sales workers,906,"1,345",538,"1,464",367,"1,151"
Cashiers,"1,147",606,346,616,801,602
Counter and rental clerks,64,801,46,–,18,–
Parts salespersons,89,769,65,796,25,–
Retail salespersons,"1,585",829,963,988,622,710
Advertising sales agents,101,"1,442",51,"1,728",50,"1,398"
Insurance sales agents,443,"1,081",183,"1,310",260,927
"Securities, commodities, and financial services sales agents",184,"2,320",129,"2,412",55,"1,654"
Travel agents,48,–,8,–,40,–
"Sales representatives of services, except advertising, insurance, financial services, and travel",577,"1,365",399,"1,451",178,"1,137"
"Sales representatives, wholesale and manufacturing",999,"1,427",731,"1,535",268,"1,215"
"Models, demonstrators, and product promoters",10,–,3,–,6,–
Real estate brokers and sales agents,440,"1,363",188,"1,444",252,"1,215"
Sales engineers,51,"1,918",51,"1,918",0,–
Telemarketers,28,–,4,–,24,–
"Door-to-door sales workers, news and street vendors, and related workers",29,–,16,–,14,–
"Sales and related workers, all other",213,914,105,"1,019",108,807
Office and administrative support occupations,"12,519",891,"3,777",983,"8,743",864
First-line supervisors of office and administrative support workers,"1,038","1,114",351,"1,209",687,"1,075"
"Switchboard operators, including answering service",19,–,6,–,14,–
Telephone operators,11,–,5,–,6,–
"Communications equipment operators, all other",1,–,1,–,0,–
Bill and account collectors,84,809,25,–,59,778
Billing and posting clerks,391,826,31,–,360,819
"Bookkeeping, accounting, and auditing clerks",869,943,130,"1,100",738,922
Gambling cage workers,22,–,11,–,11,–
Payroll and timekeeping clerks,119,"1,040",16,–,103,"1,037"
Procurement clerks,41,–,25,–,16,–
Tellers,163,721,44,–,119,711
"Financial clerks, all other",121,"1,078",57,"1,335",65,"1,009"
Brokerage clerks,6,–,4,–,2,–
Correspondence clerks,3,–,0,–,3,–
"Court, municipal, and license clerks",84,928,26,–,58,821
"Credit authorizers, checkers, and clerks",25,–,8,–,17,–
Customer service representatives,"2,157",828,731,918,"1,426",799
"Eligibility interviewers, government programs",96,960,15,–,81,951
File Clerks,86,898,26,–,61,882
"Hotel, motel, and resort desk clerks",87,741,39,–,48,–
"Interviewers, except eligibility and loan",166,789,33,–,133,797
"Library assistants, clerical",33,–,5,–,27,–
Loan interviewers and clerks,128,931,32,–,96,887
New accounts clerks,17,–,8,–,9,–
Order clerks,66,734,30,–,36,–
"Human resources assistants, except payroll and timekeeping",71,988,7,–,64,982
Receptionists and information clerks,827,752,112,770,715,749
Reservation and transportation ticket agents and travel clerks,113,900,64,987,49,–
"Information and record clerks, all other",71,858,14,–,57,802
Cargo and freight agents,25,–,13,–,12,–
Couriers and messengers,547,853,435,885,112,711
Public safety telecommunicators,67,"1,013",11,–,55,964
"Dispatchers, except police, fire, and ambulance",156,898,65,"1,128",91,852
"Meter readers, utilities",20,–,19,–,0,–
Postal service clerks,95,894,46,–,49,–
Postal service mail carriers,279,"1,130",182,"1,194",97,"1,015"
"Postal service mail sorters, processors, and processing machine operators",58,904,26,–,31,–
"Production, planning, and expediting clerks",198,"1,334",109,"1,335",89,"1,333"
"Shipping, receiving, and inventory clerks",555,811,356,827,199,789
"Weighers, measurers, checkers, and samplers, recordkeeping",59,843,36,–,23,–
Executive secretaries and executive administrative assistants,179,"1,272",16,–,163,"1,272"
Legal secretaries and administrative assistants,40,–,3,–,37,–
Medical secretaries and administrative assistants,80,909,6,–,74,914
"Secretaries and administrative assistants, except legal, medical, and executive","1,387",894,130,"1,101","1,257",882
Data entry keyers,185,814,59,819,126,809
Word processors and typists,33,–,3,–,31,–
Desktop publishers,1,–,0,–,1,–
Insurance claims and policy processing clerks,265,912,59,"1,062",206,896
"Mail clerks and mail machine operators, except postal service",37,–,20,–,17,–
"Office clerks, general",926,828,176,867,750,824
"Office machine operators, except computer",15,–,5,–,10,–
Proofreaders and copy markers,4,–,1,–,4,–
Statistical assistants,14,–,11,–,3,–
"Office and administrative support workers, all other",380,"1,007",134,"1,038",246,988
,,,,,,
"Natural resources, construction, and maintenance occupations","11,368","1,001","10,793","1,013",575,734
"Farming, fishing, and forestry occupations",731,689,548,728,183,614
"First-line supervisors of farming, fishing, and forestry workers",59,907,48,–,11,–
Agricultural inspectors,24,–,17,–,7,–
Animal breeders,9,–,9,–,0,–
"Graders and sorters, agricultural products",39,–,13,–,26,–
Miscellaneous agricultural workers,542,662,412,704,130,598
Fishing and hunting workers,7,–,7,–,0,–
Forest and conservation workers,18,–,9,–,9,–
Logging workers,33,–,33,–,0,–
Construction and extraction occupations,"6,517",985,"6,277",991,240,795
First-line supervisors of construction trades and extraction workers,537,"1,373",525,"1,361",13,–
Boilermakers,14,–,12,–,3,–
"Brickmasons, blockmasons, and stonemasons",76,850,75,856,1,–
Carpenters,942,928,915,927,27,–
"Carpet, floor, and tile installers and finishers",67,924,61,931,6,–
"Cement masons, concrete finishers, and terrazzo workers",48,–,48,–,0,–
Construction laborers,"1,572",858,"1,498",870,74,711
Construction equipment operators,353,"1,113",351,"1,115",2,–
"Drywall installers, ceiling tile installers, and tapers",90,812,88,815,2,–
Electricians,813,"1,195",793,"1,199",19,–
Glaziers,28,–,25,–,3,–
Insulation workers,61,"1,079",57,973,4,–
Painters and paperhangers,389,810,348,821,41,–
Pipelayers,46,–,46,–,0,–
"Plumbers, pipefitters, and steamfitters",546,"1,063",538,"1,070",8,–
Plasterers and stucco masons,22,–,22,–,0,–
Reinforcing iron and rebar workers,10,–,10,–,0,–
Roofers,187,804,179,808,8,–
Sheet metal workers,112,"1,096",108,"1,095",4,–
Structural iron and steel workers,37,–,35,–,2,–
Solar photovoltaic installers,14,–,14,–,0,–
"Helpers, construction trades",49,–,45,–,4,–
Construction and building inspectors,85,"1,193",78,"1,197",7,–
Elevator and escalator installers and repairers,39,–,39,–,0,–
Fence erectors,26,–,26,–,0,–
Hazardous materials removal workers,21,–,21,–,0,–
Highway maintenance workers,98,941,98,941,0,–
Rail-track laying and maintenance equipment operators,22,–,22,–,0,–
Septic tank servicers and sewer pipe cleaners,7,–,5,–,1,–
Miscellaneous construction and related workers,48,–,44,–,4,–
"Derrick, rotary drill, and service unit operators, oil and gas",21,–,21,–,0,–
"Excavating and loading machine and dragline operators, surface mining",9,–,6,–,3,–
"Earth drillers, except oil and gas",22,–,22,–,0,–
"Explosives workers, ordnance handling experts, and blasters",7,–,7,–,0,–
Underground mining machine operators,43,–,42,–,1,–
"Roustabouts, oil and gas",8,–,8,–,0,–
Other extraction workers,47,–,46,–,1,–
"Installation, maintenance, and repair occupations","4,120","1,092","3,968","1,104",152,875
"First-line supervisors of mechanics, installers, and repairers",227,"1,246",210,"1,246",17,–
"Computer, automated teller, and office machine repairers",109,"1,042",92,"1,072",17,–
Radio and telecommunications equipment installers and repairers,92,"1,042",85,"1,052",7,–
Avionics technicians,10,–,9,–,1,–
"Electric motor, power tool, and related repairers",18,–,18,–,0,–
"Electrical and electronics installers and repairers, transportation equipment",0,–,0,–,0,–
"Electrical and electronics repairers, industrial and utility",8,–,7,–,0,–
"Electronic equipment installers and repairers, motor vehicles",3,–,3,–,0,–
Audiovisual equipment installers and repairers,19,–,17,–,2,–
Security and fire alarm systems installers,37,–,36,–,1,–
Aircraft mechanics and service technicians,115,"1,355",112,"1,370",3,–
Automotive body and related repairers,105,"1,025",97,"1,049",8,–
Automotive glass installers and repairers,18,–,17,–,1,–
Automotive service technicians and mechanics,741,994,727,"1,001",15,–
Bus and truck mechanics and diesel engine specialists,281,"1,093",277,"1,095",5,–
Heavy vehicle and mobile equipment service technicians and mechanics,194,"1,206",191,"1,210",3,–
Small engine mechanics,28,–,27,–,1,–
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",56,804,55,810,1,–
Control and valve installers and repairers,19,–,18,–,2,–
"Heating, air conditioning, and refrigeration mechanics and installers",464,"1,126",458,"1,129",5,–
Home appliance repairers,28,–,27,–,1,–
Industrial and refractory machinery mechanics,397,"1,172",383,"1,183",14,–
"Maintenance and repair workers, general",586,"1,007",559,"1,017",27,–
"Maintenance workers, machinery",20,–,19,–,2,–
Millwrights,33,–,32,–,1,–
Electrical power-line installers and repairers,122,"1,373",120,"1,374",2,–
Telecommunications line installers and repairers,141,"1,135",134,"1,141",8,–
Precision instrument and equipment repairers,35,–,32,–,4,–
Wind turbine service technicians,9,–,9,–,0,–
"Coin, vending, and amusement machine servicers and repairers",26,–,21,–,5,–
Commercial divers,1,–,1,–,0,–
Locksmiths and safe repairers,23,–,23,–,0,–
Manufactured building and mobile home installers,3,–,3,–,0,–
Riggers,15,–,15,–,0,–
"Helpers--installation, maintenance, and repair workers",12,–,12,–,0,–
"Other installation, maintenance, and repair workers",124,"1,014",123,"1,018",2,–
,,,,,,
"Production, transportation, and material moving occupations","15,977",869,"12,290",923,"3,688",716
Production occupations,"7,313",895,"5,277",966,"2,036",742
First-line supervisors of production and operating workers,714,"1,175",560,"1,263",154,914
"Aircraft structure, surfaces, rigging, and systems assemblers",14,–,8,–,6,–
"Electrical, electronics, and electromechanical assemblers",115,824,61,887,54,782
Engine and other machine assemblers,12,–,11,–,2,–
Structural metal fabricators and fitters,18,–,18,–,0,–
Other assemblers and fabricators,961,812,607,852,355,758
Bakers,139,670,58,726,81,656
